"time","sut.crane_angle","sut.desired_angle","sut.m_load","sut.control_force"
4.53,-0.12451057299574696,0,5,52.387037530438256
4.54,-0.12481813458084588,0,5,52.56456868606486
4.55,-0.12513010845165567,0,5,52.74156433216123
4.56,-0.12544638340387274,0,5,52.917990737291184
4.57,-0.12576674660758264,0,5,53.09379249020519
4.58,-0.12609111678726784,0,5,53.268943038927524
4.59,-0.1264193741676722,0,5,53.44340780373898
4.6,-0.12675139166210936,0,5,53.61715092198772
4.61,-0.1270870412401367,0,5,53.790136611482644
4.62,-0.12742619384111387,0,5,53.962329134555176
4.63,-0.12776872275272697,0,5,54.13369658386178
4.64,-0.12811450243754585,0,5,54.304209647520196
4.65,-0.128463398299602,0,5,54.473830381392254
4.66,-0.12881527842736815,0,5,54.64252522060018
4.67,-0.12917000977278192,0,5,54.81026082452143
4.68,-0.12952745808590396,0,5,54.97700406412327
4.69,-0.12988748784957713,0,5,55.1427220092977
4.7,-0.1302500218473734,0,5,55.30740087689959
4.71,-0.13061491167779515,0,5,55.4710048681971
4.72,-0.13098202498227474,0,5,55.633503911562464
4.73,-0.13135123606609717,0,5,55.794870688457664
4.74,-0.13172241992360953,0,5,55.955078741830064
4.75,-0.1320954523162645,0,5,56.11410250903708
4.76,-0.13247022297071598,0,5,56.27191788491249
4.77,-0.1328466369650698,0,5,56.428502307551746
4.78,-0.1332245635685812,0,5,56.5838327208491
4.79,-0.133603891519958,0,5,56.73788783789865
4.8,-0.13398451211400614,0,5,56.89064748734759
4.81,-0.13436631937050014,0,5,57.04209264999087
4.82,-0.13474921020305353,0,5,57.19220549536576
4.83,-0.135133037017205,0,5,57.340947891159985
4.84,-0.13551770724482246,0,5,57.48830640564848
4.85,-0.13590312306620858,0,5,57.634264990339474
4.86,-0.13628918152758654,0,5,57.77880499331614
4.87,-0.1366757814781291,0,5,57.92190825862298
4.88,-0.13706282361695243,0,5,58.06355710770777
4.89,-0.13745018766564185,0,5,58.2037298700013
4.9,-0.13783771806434042,0,5,58.34239807199275
4.91,-0.13822534186689955,0,5,58.479549349297834
4.92,-0.13861294939441424,0,5,58.61516419679304
4.93,-0.1390004302465637,0,5,58.749222947918135
4.94,-0.13938767316586567,0,5,58.88170572056107
4.95,-0.13977456590193,0,5,59.012592362942584
4.96,-0.1401610175238836,0,5,59.14188388721049
4.97,-0.14054691342209652,0,5,59.26955947227235
4.98,-0.14093213889280673,0,5,59.395599115157864
4.99,-0.1413165829364738,0,5,59.519987342680025
5,-0.1417001338550086,0,5,59.64270907286315
5.01,-0.14208267917747752,0,5,59.763749619649055
5.02,-0.14246413313047399,0,5,59.8830994980019
5.03,-0.14284447304483008,0,5,60.00076078641043
5.04,-0.1432235520202275,0,5,60.11671449631624
5.05,-0.1436012794396891,0,5,60.23095204926944
5.06,-0.1439775675069505,0,5,60.34346597728324
5.07,-0.14435233143108908,0,5,60.45424997266477
5.08,-0.14472548961115247,0,5,60.56329893784598
5.09,-0.1450969434554901,0,5,60.67059553494337
5.1,-0.14546661621642898,0,5,60.77613585692403
5.11,-0.14583443651158845,0,5,60.8799184312311
5.12,-0.14620033098813132,0,5,60.981939284313796
5.13,-0.14656422946277617,0,5,61.08219527641005
5.14,-0.14692606504667646,0,5,61.180684111768784
5.15,-0.1472857567426813,0,5,61.27739908462406
5.16,-0.14764316946141046,0,5,61.3723170431314
5.17,-0.147998273207432,0,5,61.46544617209115
5.18,-0.1483509958997393,0,5,61.556781761738335
5.19,-0.1487012663368766,0,5,61.64631908461286
5.2,-0.14904901412278296,0,5,61.734053346003556
5.21,-0.14939416959263546,0,5,61.81997963439208
5.22,-0.14973662953189332,0,5,61.904094972050046
5.23,-0.15007631815836234,0,5,61.98639451688866
5.24,-0.15041316820700054,0,5,62.06687266966271
5.25,-0.1507471007828666,0,5,62.14552425680584
5.26,-0.15107803565173045,0,5,62.22234384452143
5.27,-0.15140589105798483,0,5,62.29732569585303
5.28,-0.15173060289356782,0,5,62.370469608314565
5.29,-0.15205219628843125,0,5,62.441802681852536
5.3,-0.1523705449015983,0,5,62.51130618244719
5.31,-0.15268558606027754,0,5,62.57898093293159
